BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,GIRIAS,,"No.5 Rajaji Road, Near National Theatre, Tambaram (West)",,Chennai,,Tamilnadu,,, 8939904222 | 8939907222,,,,https://www.giriasindia.com/index.php/storelocator/,,,,,,,,,
,TV,Consumer Electronics,,GIRIAS,,"No165, J N Road Opp.Post Office, Thiruvallur",,Chennai,,Tamilnadu,,, 044 2766 3299 | 044 2766 3298 | 044 2766 3297,,,,https://www.giriasindia.com/index.php/storelocator/,,,,,,,,,
,TV,Consumer Electronics,,GIRIAS,,"Bus Stop, Anmamalai Nagar, Karur Byepass Road, Annamalai Nagar, Woraiyur",,Trichy,,Tamilnadu,,, 8939970751 | 8939970752,,,,https://www.giriasindia.com/index.php/storelocator/,,,,,,,,,
,TV,Consumer Electronics,,GIRIAS,,"No.129, Kumaran Road, Chidambaram Complex",,Tiruppur,,Tamilnadu,,, 0421 2243 833,,,,https://www.giriasindia.com/index.php/storelocator/,,,,,,,,,
,TV,Consumer Electronics,,GIRIAS,," 1510, Trichy Road,  Near Lic Building",,Coimbatore,,Tamilnadu,,, 0422 2393 907 | 0422 2393 906,,,,https://www.giriasindia.com/index.php/storelocator/,,,,,,,,,
,TV,Consumer Electronics,,GIRIAS,,"""Param Edge"" B.H.Road, Batawadi, Next To Nayanadhama Eye Hospital, Near Chethana School",,Tumkur,,Karnataka,,, 9148376035,,,,https://www.giriasindia.com/index.php/storelocator/,,,,,,,,,
,TV,Consumer Electronics,,GIRIAS,,"Door No.3C, 100 Feet Tharamani Link Rd, Velachery",,Chennai,,Tamilnadu,,, 044 2243 1633 | 044 2243 1233,,,,https://www.giriasindia.com/index.php/storelocator/,,,,,,,,,
,TV,Consumer Electronics,,GIRIAS,,"No.64, Vellore Main Road, Odaipillaiyar Koil Bus Stop, Katpadi",,Vellore,,Tamilnadu,,, 0416 2246 866,,,,https://www.giriasindia.com/index.php/storelocator/,,,,,,,,,
,TV,Consumer Electronics,,GIRIAS,,"1134/1, Service Road, 2nd Phase, Rpc Layout, Vijayanagar.",,Bangalore,,Karnataka,,, 9591984666,,,,https://www.giriasindia.com/index.php/storelocator/,,,,,,,,,
,TV,Consumer Electronics,,GIRIAS,,"No.102, Arcot Road (Near Chandra Mall & National Theatre), Virugambakkam",,Chennai,,Tamilnadu,,, 7824028333 | 7824025333,,,,https://www.giriasindia.com/index.php/storelocator/,,,,,,,,,
