BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"Address Line 1
Address Line 2",,City,,,Pincode,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8981 119 8 & 120 8ASHOK COSMOS MALLASHOK 
COSMOS MALL SANJAY PLACE CHILLI INT ROAD",,AGRA,,Uttar Pradesh,282002,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"T P NO 01 FP NO 216ALPHA 
ONE VASTRAPURLAKE",,AHMEDABAD,,Gujarat,380054,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"10 ACRE MALL NEARRAIPUR GATE NEWCOTTON MILL
 COMPOUND ARYA SAMAJ MANDIR RD MANINAGAR"," 10 ACRE MALL NEARRAIPUR GATE NEWCOTTON MILL
 COMPOUND ARYA SAMAJ MANDIR RD MANINAGAR",AHMEDABAD,,Gujarat,380022,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"4547 UPPER GRD FLRISCON MEGA MALL 
NEARRAJPATH CLUB S G ROAD"," 4547 UPPER GRD FLRISCON MEGA MALL 
NEARRAJPATH CLUB S G ROAD",AHMEDABAD,,Gujarat,380054,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"SHOP NO 4 5 6TURQUOISE 
CG",,AHMEDABAD,,Gujarat,380009,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"GJ SM AHM 064SHOP NO 9 GR 
FLRGULMOHAR PARK MALL SATELLITE ROAD",,AHMEDABAD,,Gujarat,380015,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8672 GROUND FLOORPRERNA ARBOUR OPPSAMUDRA
 ANNEXE GIRISH COLDRINK CROSS ROAD OFF C G ROAD"," 8672 GROUND FLOORPRERNA ARBOUR OPPSAMUDRA
 ANNEXE GIRISH COLDRINK CROSS ROAD OFF C G ROAD",AHMEDABAD,,Gujarat,380006,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"8703 LGF CINE MALLNEAR ANA SAGAR LAKENEAR 
ANA SAGAR LAKEVAISHALI NAGAR ROAD"," 8703 LGF CINE MALLNEAR ANA SAGAR LAKENEAR 
ANA SAGAR LAKEVAISHALI NAGAR ROAD",AJMER,,Rajasthan,305001,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
,TV,Consumer Electronics,,RELIANCE DIGITAL,,"PROPERTY NO 47 A 2SARDAR 
PATEL MARGCIVIL STATION",,ALLAHABAD,,Uttar Pradesh,211002,,,,,,https://www.reliancedigital.in/locateus,,,,,,,,,
