BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,VIJAY SALES,,"Bezzola Complex, Sion-Trombay Road, Chembur. Mumbai-400 050.
",,Ahmedabad,CHEMBUR,,,,022-6171 9999,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"Ground Floor, Unit No.G-13-C, R City Mall, L.B.S. Road. Ghatkopar (West). Mumbai-400 086.
",,Ahmedabad,GHATKOPAR-R CITY MALL,,,,022-6171 1919,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"Infiniti Mall, 1st Floor, Lokhandwala, Andheri (West). Mumbai-400 053.
",,Ahmedabad,ANDHERI-INFINITI MALL,,,,022-6171 4444,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"S.V Road, Opp. Filmistan Studio, Land Mark : Near Ratna Hotel. Goregaon (West). Mumbai-400 062.
",,Ahmedabad,GOREGAON-WEST,,,,022-6171 1313,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"108, Lady Jamshedji Road, Mahim (West). Mumbai-400 016
",,Ahmedabad,MAHIM,,,,022-6171 1515,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"29, Mama Parmanand Road, Opera House. Mumbai-400 004.
",,Ahmedabad,OPERA HOUSE,,,,022-6171 0000,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"384, Veer Savarkar Marg, Opp. Sidhivinayak Temple Prabhadevi. Mumbai-400 025.
",,Ahmedabad,PRABHADEVI,,,,022-6171 1111,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"Prime Center, 18, S.V Road, Santacruz (West). Mumbai-400 054.
",,Ahmedabad,SANTACRUZ,,,,022-6171 1212,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"Indrapuri Society, Near Waman Hari Pethe Jewellers. Next to Cambridge Showroom. Opp. Sion Circle, Sion (West). Mumbai-400 022.
",,Ahmedabad,SION,,,,022-6171 1717,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"68, Ground Floor, Dev Plaza, S. V. Road, Opposite Fire Brigade Station.Andheri (West), Mumbai-400 058.
",,Ahmedabad,ANDHERI-S.V. ROAD,,,,022-6171 1414,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"The Hub Mall, Western Express Highway. Goregaon-East. Mumbai-400 063.
",,Ahmedabad,GOREGAON-EAST,,,,022-6171 3333,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"Plot No.57/2, S.V. Road, Shastri Nagar Bus Stop. Borivali (West). Mumbai-400 092
",,Ahmedabad,BORIVALI-WEST,,,,022-6171 2222,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"Linking Road, Opp. MacDonald, Near KFC. Khar (West). Mumbai-400 052.
",,Ahmedabad,KHAR LINKING ROAD,,,,022-6171 2000,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"Shop No. 03, Flix Building, Opp. Asian Paints, LBS Marg, Bhandup (West). Mumbai-400 078.
",,Ahmedabad,BHANDUP-WEST,,,,022-2595 5489,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"Rajhans Helix 3, L.B.S Road, Old Shreyas Cinema, Ghatkopar (West), Mumbai-400 086.
",,Ahmedabad,GHATKOPAR-OLD SHREYAS CINEMA,,,,022-6270 2929,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"Ground Floor, A wing, Business Square, Opp. Kanakia Wall Street, Andheri-Kurla Road, Chakala, Andheri (East). Mumbai-400 059.
",,Ahmedabad,ANDHERI-EAST,,,,8928933108,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"3384, Deshbandhu Gupta Road, Adjoining Hotel Gold Palace, Karol Bagh.Delhi-110 005
",,Delhi,KAROL BAGH,,,,011-6666 0666,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"W8, West Patel Nagar, Near Shaadipur Metro Station. Opp. Metro Pillar No.232. Patel Nagar.Delhi-110 008
",,Delhi,PATEL NAGAR,,,,011-6666 0888,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"HD/2, Block HD, Pitampura Residential Scheme, Opp. Metro Pillar No.360, Pitam Pura. Delhi - 110 088
",,Delhi,PITAM PURA,,,,011-6666 0111,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"K-25/II, Central Market, Near 3C Cinema. Lajpat Nagar II. Delhi-110 024
",,Delhi,LAJPAT NAGAR II,,,,011-6666 0222,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
,TV,Consumer Electronics,,VIJAY SALES,,"B-1/7, Plot No.7 , Block No. B-1, Near Anar Leela Hospital, Opp. Metro Pillar No.547, Janakpuri (East). Delhi-110 058
",,Delhi,JANAKPURI,,,,011-6666 0777,,,,https://www.vijaysales.com/store-locator,,,,,,,,,
