BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI KANDIVALI," 4, Heena Gaurav Heights,S. V. Road, Kandivali (W),Mumbai-400 067. ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI MIRA ROAD," Sheetal Snehanjali, Near Rasaz Maltiplax Opp: Sheetal Nagar Bus Stop, Mira Road (E), Thane 401107 "," Near Rasaz Maltiplax Opp: Sheetal Nagar Bus Stop,",,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI NALASOPARA," Tania Plaza, Station Road, Opp East West Fly Over, Nallasopara (W), Thane-401 203 "," Opp East West Fly Over,",,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI VASAI EAST," Shop No. 16, Ground Floor, Gagan Supreme Dream Complex, Wing C, Vasant Nagari,  Vasai Nalasopara Link Road, Vasai Dist, Thane - 401 209. ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI VIRAR - WEST," Shop No.3, Ground Floor, Sai Ratna, Agashi Road, Virar (West), Thane- 401 303 ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI VIRAR - EAST," 1-5 Puspa Plaza, Opp Railway Station, Manvelpada Road, Virar East, Near Reliance Fresh, Thane-401 303 "," 1-5 Puspa Plaza, Opp Railway Station, Near Reliance Fresh, Thane-401 303",,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI BOISAR," Snehanjali Point, Navapur Road, Opp. Brijwasi Sweet,  Boisar (W), Thane-401 501 "," Opp. Brijwasi Sweet, ",,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI THANE," Orion Business park ,  Chitalsar Manpada, Nr Wonder Mall Thane(w), Thane-400 607 ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI VIRAR MANVEL PADA," Shop No. 1, M Baria Space, Bldg. No. 1, Manvel pada, Virar East, Palghar-401 305 ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI VIRAR TIRUPATI NAGAR," Shop no. 1, Office no. 1 to 4, M. Baria Twin Tower(bldg no-9), Tirupati nagar Phase – II, Bollinj Virar west Pin - 401 303. ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI DAHISAR," Shop no. 8 to 14, Ground floor, Pokar Kunj Chs, Lokmanya Tilak Road, Dahisar West, Pin code - 400 068. ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI NAIGAON," Shree Laxmi Plaza, Juchandra Road, Naigaon East, Taluka - Vasai, Palghar-401 207 ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI BHAYANDER," Shop No. 01, Next To Grand Hotel,  Golden Nest Circle,  Bhayander East, Thane-401107 ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI ULHASNAGAR," Wadhwani Building, Shivaji Chowk, Opp. Paramount Cinema, Thane, Ulhasnagar - 421 003 "," Opp. Paramount Cinema,",,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI MIRA BHAYANDER ROAD," Shop No. 5 & 20, Asha Deep, Mira Bhayander Road, Mira Road East, Thane - 401107 ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI MALAD WEST," Shop No. 2, Village Malwani Taluka, Borivali, Malad West - 400095. ",,,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,SNEHANJALI,SNEHANJALI DAHANU," Shop no. 5, annapurna park,  near chandrika appartment, dahanu west - 401602 "," near chandrika appartment,",,,,,India,,,,,,https://snehanjalielectronics.com/stores,,,,,,,,,
