BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
MICROMAX,TV,Consumer Electronics,,,A.G. ELEC.,"MAIN MARKET, SEC-6, R K PURAM, DELHI",,,,,,India,919810299778,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,A.P. Electronics,"shop no 2/2, sarai Khuldabad",,,,,,India,9415308401,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,A.P. Sales,119 Hewet Road,,,,,,India,9839618792,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,A.S. ENTERPRISES,"E-36 SHAHEEN BAGH ABUL FAZAL ENCLAVE-II,JAMIA NAGAR OKHLA",,,,,,India,919891474769,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,A.V.ELECTRONICS,"A-1185/86,G.D.COLONY,MAYUR VIHAR PH.-3,DELHI-110096",,,,,,India,919873399327,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,Aasma Electronics,"Near Hotel Delux Gulam Ishapur, Main Road - Bhadohi",,,,,,India,9305321670,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,Abdulsalam Abdulkalam Agencies,"BHANDARI ROAD, JAUNPUR",,,,,,India,8574581662,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,aditya electronics,"B-2/25, Sector-18, Rohini Delhi-110085",,,,,,India,9811005331,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,Agarwal Electronics,Tamsa Marg,,,,,,India,9838585727,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,AGGARWAL TELECOM & ELECTRONICS,"25 FEET ROAD, HANUMAN KUNJ, NEAR DAAL GODOWON, SANT NAGAR, BURARI, DELHI",,,,,,India,918826362420,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,Airo Dynamics,"C2/88, Vibhuti Khand",,,,,,India,9415027268,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,AJAY TRADING CO,"397/6, OLD RAILWAY ROAD, GURGAON",,,,,,India,9810341676,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,AJAY TV CENTRE,MAIN MARKET nr bus station,,,,,,India,9648168587,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,All New Techno Park,"No 222, NSC Bose Road,Perrys",,,,,,India,9940114488/04425391444,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,ALLIED ELCTRONICS,H 140 A DILSHAD GARDEN DELHI 110095,,,,,,India,919971505151,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,ALVI ENTERPRISES,MAULA GANJ,,,,,,India,+919935725515,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,AMAN ELECTRONICS,"D-180,WEST VINOD NAGAR MAIN ROAD MANDAWALI DELHI-110092",,,,,,India,911122478949,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,AMAN ELECTRONICS,"MAIN MARKET HASTSAL, VIKAS NAGAR, UTTAM NAGAR, DELHI",,,,,,India,9212313617,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,AMAN VIDEO,Shop No.10,,,,,,India,+919628224555,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
MICROMAX,TV,Consumer Electronics,,,AMBIKA ELECTRONICS,"C-3/47, MAHAVIR ENCLACE, PALAM, DELHI",,,,,,India,9212151786,,,,,http://www.micromaxinfo.com/store-locator,,,,,,,,,
