BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,ADHISWAR,LG Shoppe (RJN),"LG Shoppe (RJN) No. 102/26 , 1st N Block , 10th Main , Next to Cake Palace , Rajajinagar , Bangalore - 560010", LG Shoppe (RJN) lgshoppe@adishwarindia.com,Bangalore,,KARNATAKA, 560010,India,23373848/49 23373849,,,,,https://www.adishwarestore.com/pages/our-stores/pgid-44675.aspx,,,,,,,,,
,TV,Consumer Electronics,,ADHISWAR,LG Shopee (Marathalli),"LG Shopee (Marathalli) No. 90/1 , B Outer Ring Road , Munnenakolalu Village , Marathalli , Bangalore - 560037",,Bangalore,,KARNATAKA, 560037,India,42197907/08 42197908,,,,,https://www.adishwarestore.com/pages/our-stores/pgid-44675.aspx,,,,,,,,,
,TV,Consumer Electronics,,ADHISWAR,LG Best Shoppee (RR Nagar),"LG Best Shoppee (RR Nagar) No. 133, Jawaharlal Nehru Road, 4th Phase, Between 4th & 5th Stage , BEML Layout, Rajarajeshwari Nagar , Bangalore - 560098", LG Best Shoppee (RR Nagar),Bangalore,,KARNATAKA, 560098,India,080-28601199,,,,,https://www.adishwarestore.com/pages/our-stores/pgid-44675.aspx,,,,,,,,,
,TV,Consumer Electronics,,ADHISWAR,LG Shoppee (SP),"LG Shoppee (SP) CHMC No. 19-85/T/1 , Plot No. A1 , Rukminipuri Colony , Ecil Road , A S Rao Nagar Main Road, Sainikpuri", LG Shoppee (SP),Hyderabad,,KARNATAKA,"85/T/1 , Plot No. A1 , Rukminipuri Colony , Ecil Road , A S Rao Nagar Main Road, Sainikpuri",India,,,,,,https://www.adishwarestore.com/pages/our-stores/pgid-44675.aspx,,,,,,,,,
,TV,Consumer Electronics,,ADHISWAR,ERRAGADDA,"ERRAGADDA GHMC NO. 8-4-554/9,10,11 & 12, K VEERAIAH YADAV PRIDE, Near Gokul Theater, Next to Hyundai Showroom, Main Road, ERRAGADDA , ERRAGADDA, HYDERABAD - 500 018"," Near Gokul Theater, Next to Hyundai Showroom,",Hyderabad,,KARNATAKA, 500 018,India,040 - 7288911144/66,,,,,https://www.adishwarestore.com/pages/our-stores/pgid-44675.aspx,,,,,,,,,
,TV,Consumer Electronics,,ADHISWAR,ATTAPUR ,"ATTAPUR  GHMC No. 4-3-147/1 & 2, In between Pillar No. 137 & 138, Attapur, Rangareddy Dist, Hyderabad-500048",,Hyderabad,,KARNATAKA,500048,India,040 - 4003 0016 / 17 / 18,,,,,https://www.adishwarestore.com/pages/our-stores/pgid-44675.aspx,,,,,,,,,
,TV,Consumer Electronics,,ADHISWAR,NAGARAM ,"NAGARAM  GHMC NO 3-77, Opp. BSNL Telephone Office,, Main Road, Keesara Mandal,, NAGARAM, Rangareddy Dist, Hyderabad-500083"," GHMC NO 3-77, Opp. BSNL Telephone Office,,",Hyderabad,,KARNATAKA,500083,India,040 - 2713 4300 / 6300,,,,,https://www.adishwarestore.com/pages/our-stores/pgid-44675.aspx,,,,,,,,,
,TV,Consumer Electronics,,ADHISWAR,MOOSARAMBAGH,"MOOSARAMBAGH H.No 16-11- 784/A/1, Plot No 36, Moosarambagh Hyderabad-500036",,Hyderabad,,KARNATAKA,500036,India,040-48534034 / 48564034,,,,,https://www.adishwarestore.com/pages/our-stores/pgid-44675.aspx,,,,,,,,,
,TV,Consumer Electronics,,ADHISWAR,KUKATPALLY,"KUKATPALLY GHMC No. 24-239, No. 239 / MIG, Next to Remedy Hospital, K.P.H.B Main Road, Kukatpally, Hyderabad-500072",,Hyderabad,,KARNATAKA,500072,India,040-42027972 / 73 / 74,,,,,https://www.adishwarestore.com/pages/our-stores/pgid-44675.aspx,,,,,,,,,
,TV,Consumer Electronics,,ADHISWAR,MACHA BOLARAM ,"MACHA BOLARAM  GHMC NO. 1-5-58/4, Plot No. 6,, Survey No.68, Opp. to Little Flower High School,, Bolaram Market Road, Old Alwal, Rangareddy Dist, MACHA BOLARAM, Secunderabad - 500 010"," Survey No.68, Opp. to Little Flower High School,,",Hyderabad,,KARNATAKA, 500 010,India,040 - 2796 0876 / 77,,,,,https://www.adishwarestore.com/pages/our-stores/pgid-44675.aspx,,,,,,,,,
