BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,BAJAJ ELECTRONICS,GUNTUR,"GUNTUR 5-87-45/A, 5/1, Guntur Village, Lakshmi Purma Main Road, Chandra Mouli,  Guntur, Andhra Pradesh - 522007",,Guntur,, Andhra Pradesh  ,522007,India,,,,,,https://www.bajajelectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,BAJAJ ELECTRONICS,RAJAHMUNDRY,"RAJAHMUNDRY Door No 36-11-3, 4, 5, 6, Sabbavarapuvari Street, Rajamahendravaram, Rajahmundry, Andhra Pradesh - 533101",,,,Andhra Pradesh  ,533101,India,,,,,,https://www.bajajelectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,BAJAJ ELECTRONICS,VIJAYAWADA BANDAR ROAD,"VIJAYAWADA BANDAR ROAD 54-15-1, R S No:394-4A, Ring Road. Vijayawada, Andhra Pradesh - ",,,,Andhra Pradesh  ,,India,,,,,,https://www.bajajelectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,BAJAJ ELECTRONICS,VIJAYAWADA ELURU ROAD,"VIJAYAWADA ELURU ROAD Meenakshi Towers, 29-37-22, Eluru Rd, Surya Rao Pet, Vijayawada, Krishna, Andhra Pradesh - 520002,",,Andhra Pradesh  ,,,520002,India,,,,,,https://www.bajajelectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,BAJAJ ELECTRONICS,VIZAG,"VIZAG 46/5/30/A, 46/15/30/b, Block No 22, Ward No.31, Dondaparthi Area, Near Diamond Park. Visakhapatnam.  Vizag. Andhra Pradesh - 530003", Near Diamond Park. Visakhapatnam. ,,,Vizag. Andhra Pradesh  ,530003,India,,,,,,https://www.bajajelectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,BAJAJ ELECTRONICS,TIRUPATI - 1,"TIRUPATI - 1 15-1-66, G Car Street Near Nalugu Kalla Mandapam, Tirupati Andhra Pradesh - 517501"," 15-1-66, G Car Street Near Nalugu",,,Andhra Pradesh  ,517501,India,,,,,,https://www.bajajelectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,BAJAJ ELECTRONICS,TIRUPATI - 2,"TIRUPATI - 2 18-2-263/12A Tirumala By Pass Road Near Leela Mahal Cross Road TIrupatl,  Andhra Pradesh - 517501", Near Leela Mahal Cross,,,Andhra Pradesh  ,517501,India,,,,,,https://www.bajajelectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,BAJAJ ELECTRONICS,NELLORE,"NELLORE Door no 24-2-382, opp Kasturi Devi, School, Dargamett, SVSR Nellore-524003"," Door no 24-2-382, opp Kasturi Devi,",,,Nellore,524003,India,,,,,,https://www.bajajelectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,BAJAJ ELECTRONICS,ABIDS,"ABIDS House No. 5-4-17, Jr. Road, Abids  Hyderabad, Telangana -500001",,Hyderabad,, Telangana ,500001,India,,,,,,https://www.bajajelectronics.com/stores,,,,,,,,,
,TV,Consumer Electronics,,BAJAJ ELECTRONICS,ATTAPUR,"ATTAPUR Pillar No.138. Survey.no 400, One Plaza, Attapur, Rajendra Nagar, R.R. Dist, Hyderabad, Telangana - 500048",,,,Telangana  ,500048,India,,,,,,https://www.bajajelectronics.com/stores,,,,,,,,,
