BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,UNILET,Coxtown,"No. 97, Wheelers Road,Coxtown, Next to Food World,",,Bangalore Karnataka 560005,,,,India, 9900046930/9900012819.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Frazer Town,"No.48, Mosque Road, Frazer Town,",,Bangalore Karnataka 560005,,,,India, 9900111562/9900012851.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Hanumanth Nagar,"No. 60/45, 50 Feet Road,Opp Canara Bank, Hanumanthnagar,",,Bangalore Karnataka 560019,,,,India, 9900046940.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Devenahalli,"Survey Number 317/2, Devenahalli Kasaba",,Bangalore Karnataka 562110,,,,India, 9148142111/9148140111.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,RT Nagar,"No.12, Ground Floor, Next to Ploice Station, RT Nagar,",,Bangalore Karnataka 560032,,,,India, 9900029308.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Rajajinagar,"No.23/A, 1st N Block, Rajajinagar,",,Bangalore Karnataka 560010,,,,India, 9900078016/9148450661.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Ganga Nagar,"No. 108/1, 5th Cross,3rd Main Road, Ganga Nagar,",,Bangalore Karnataka 560032,,,,India, 9900046950.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Ganga Nagar,"No. 110/36, 3rd Main Road,GangaNagar,,- (GNR)",,Bangalore Karnataka 560032,,,,India, 9900046949/9900012542.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Rajaji Nagar,"No. 873, 9th Cross,Modi Hospital Road,Rajaji Nagar,",,Bangalore Karnataka 560086,,,,India, 9900046934.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,BTM Layout,"No. 17, 100 Feet Road,BTM Layout, 2nd Stage,",,Bangalore Karnataka 560076,,,,India, 9900046925.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Bommanahalli,"No.429/431, Hosur Road, Bommanahalli,",,Bangalore Karnataka 560068,,,,India, 9900046913.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Mattikere,"No 49, Ground & First Floor, 1St Main Rd, Gokul 1St Stage, 3Rd Phase Yeshwanthpura, Mathikere,",,Bangalore Karnataka 560022,,,,India, 9148450663.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Mattikere,"No 49, Ground & First Floor, 1St Main Rd, Gokul 1St Stage, 3Rd Phase Yeshwanthpura, Mathikere,",,Bangalore Karnataka 560022,,,,India, 9148450662.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Ramnagara,"Katha No-229A/1868/1402A, 2nd Cross,2nd Block, Gandhinagara,",,Ramanagara Karnataka 562159,,,,India, 9900098795/7619555510.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Banshankari LG Shoppe,"No. 92/4, Opp Big Bazaar, 80 Feet Road, Kathriguppe,3rd Stage, Banashankari,",,Bangalore Karnataka 560085,,,,India, 9900029309.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Banashankari,"No. 92/4, Opp Big Bazaar, 80 Feet Road, Kathriguppe,3rd Stage, Banashankari,",,Bangalore Karnataka 560085,,,,India, 9900046931.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,Sanjay Nagar,"No. 159, AECS Layout,Next to Police Station,Sanjay Nagar,",,Bangalore Karnataka 560094,,,,India, 9900046928/9900012728.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,HRBR Layout,"No. 315, 7th Main, 80 Feet Road,Opp. Coffee Day, 2nd Block, HRBR,",,Bangalore Karnataka 560043,,,,India, 9900012726/9900046946.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
,TV,Consumer Electronics,,UNILET,HRBR LG Shoppe,"No.18, 2nd Cross, 2nd Stage, BDA Layout, Banasawadi,",,Bangalore Karnataka 560043,,,,India, 9513305557.,,,,,https://www.uniletstores.com/store-locator/,,,,,,,,,
