BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
,TV,Consumer Electronics,,PAI INTERNATIONAL,Indiranagar -  MBS,"# 28/1A 100 Feet Road,
Near CMH Road,
Bangalore -  560038.",,Bangalore,,,560038.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,FRAZER TOWN– MBS,"#10/1, Mosque Road,
Frazer Town, BBMP Ward No 91,
Bangalore 560005,",,Bangalore,,,"560005,",India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,BAGALUR CROSS– MBS,"# 34, 8th Main, Vinayakanagar,
Ex Servicemen Colony,
Bagalur Cross, Bangalore- 560063",,Bagalur Cross, Bangalore,,560063,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,RT NAGAR– Smart Electronic,"# 373/1, Opp Police Station,
RT Nagar, Bangalore -  560032,",,RT Nagar, Bangalore,,"560032,",India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Electronic City – MBS,"Sy No.153/5 (Old Sy No. 152/3),
Neeladri Nagar Main Road, Hulimangala Cross,
Hulimangala Cross ,Electronic City Phase- 1,
Bangalore -  560100.",,Bangalore,,,560100.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,BIDAR – MBS,"# 8- 9- 459/A3, A4, A5, Ground Floor,
and 8- 9- 459 First Floor, Swamy Towers,
Hotel The Krishna Regency,
Udgir Road Bidar- 585401",,Udgir Road Bidar,,,585401,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Hubli 2 – MBS,"Cts No. 4523,4526,""Kalburgi Trinity"",
Opposite J.G College Of Commerce,
Vidyanagar, Hubli- 580032.",,Vidyanagar, Hubli,,580032.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Vijayanagar -  MBS,"# 44/1, 1019/A, 2nd Main,
Service Road, Vijayanagar,
Bangalore -  560040.",,Bangalore,,,560040.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Marathalli -  MBS,"# 88, Outer Ring Road, Munnekolla,
Marathalli, Bangalore -  560037",,Marathalli, Bangalore,,560037,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
,TV,Consumer Electronics,,PAI INTERNATIONAL,Peenya -  MBS,"# 728, Jalahalli Cross,
Opp Bharathi Cinema,
Peenya, Bangalore -  560057.",,Peenya, Bangalore,,560057.,India,,,,,,https://www.paiinternational.in/Stores,,,,,,,,,
