BRANDS SOLD,PRODUCT TYPES/ CATEGORIES,RETAILER TYPE,RETAILER_ID,RETAILER NAME,LOCATION NAME,ADDRESS,LAND MARK,CITY,DISTRICT,STATE/PROVINCE,ZIP/POSTAL CODE,COUNTRY,CONTACT PHONE,CONTACT PERSON,STORE SIZE,GEO COORDINATES,TIER LEVEL OF GOODS SOLD,URL,NUMBER OF STORES/BRANCHIES IN THE CHAIN,HQ ADDRESS,HOLDING COMPANY NAME,HOLDING COMPANY ADDRESS,HOLDINGS CONTACT,URL (HOLDING COMAPANY),MANUFACTURER / FACTORY,MANUFACTURER ADDRESS,MANUFACTURER CONTACT
DAIWA,TV,Consumer Electronics,,,,BALJUA ELC. GRAIN MARKET SOFIDON JIND  ,,,,,,India,9467504949,,,"26.449895,74.639916",,https://www.daiwa.in/dealers/,,,,,,,,,
DAIWA,TV,Consumer Electronics,,,,GAUTAM & SONS CHOPRA WALI GALI SIRSA  ,,,,,,India,9466574114,,,"26.449895,74.639916",,https://www.daiwa.in/dealers/,,,,,,,,,
DAIWA,TV,Consumer Electronics,,,,KRISHANA ELE NAWANA ROAD BARWALA  ,,,,,,India,7777023802,,,"26.449895,74.639916",,https://www.daiwa.in/dealers/,,,,,,,,,
DAIWA,TV,Consumer Electronics,,,,PANKAJ ELE NAYA BAZAR BHIWANI  ,,,,,,India,9416285355,,,"26.449895,74.639916",,https://www.daiwa.in/dealers/,,,,,,,,,
DAIWA,TV,Consumer Electronics,,,,SANGHI STEEL MAHAVIR CHOWK NARNAUL  ,,,,,,India,9812130583,,,"26.449895,74.639916",,https://www.daiwa.in/dealers/,,,,,,,,,
DAIWA,TV,Consumer Electronics,,,,MAHA LUXMI FURNITURE INDRA BAZAR JIND  ,,,,,,India,9466079955,,,"26.449895,74.639916",,https://www.daiwa.in/dealers/,,,,,,,,,
DAIWA,TV,Consumer Electronics,,,,KRISHANA FURNITURE EMPRIOM SAUDAURA AMBALA  ,,,,,,India,8607001110,,,"26.449895,74.639916",,https://www.daiwa.in/dealers/,,,,,,,,,
DAIWA,TV,Consumer Electronics,,,,RADHEY ENT KHIZRABAD YAMUNA NAGER  ,,,,,,India,868593000,,,"26.449895,74.639916",,https://www.daiwa.in/dealers/,,,,,,,,,
DAIWA,TV,Consumer Electronics,,,,WORKSHOP ROAD WORKSHOP ROAD YUMANA NAGER  ,,,,,,India,9355223989,,,"26.449895,74.639916",,https://www.daiwa.in/dealers/,,,,,,,,,
DAIWA,TV,Consumer Electronics,,,,SAKSHI ELC. JHANDA CHOWK JAGDHRI JAGDHRI  ,,,,,,India,9896031858,,,"26.449895,74.639916",,https://www.daiwa.in/dealers/,,,,,,,,,
